school,sex,age,Pstatus,studytime,failures,schoolsup,famsup,paid,higher,Dalc,Walc,health,absences,G1,G2,G3,Average,Result
GP,F,18,A,2,0,yes,no,no,yes,1,1,3,6,25,30,30,28.333333,Fail
GP,F,17,T,2,0,no,yes,no,yes,1,1,3,4,25,25,30,26.666667,Fail
GP,F,15,T,2,3,yes,no,yes,yes,2,3,3,10,35,40,50,41.666667,Fail
GP,F,15,T,3,0,no,yes,yes,yes,1,1,5,2,75,70,75,73.333333,Pass
GP,F,16,T,2,0,no,yes,yes,yes,1,2,5,4,30,50,50,43.333333,Fail
GP,M,16,T,2,0,no,yes,yes,yes,1,2,5,10,75,75,75,75,Pass
GP,M,16,T,2,0,no,no,no,yes,1,1,3,0,60,60,55,58.333333,Pass
GP,F,17,A,2,0,yes,yes,no,yes,1,1,1,6,30,25,30,28.333333,Fail
GP,M,15,A,2,0,no,yes,yes,yes,1,1,1,0,80,90,95,88.333333,Pass
GP,M,15,T,2,0,no,yes,yes,yes,1,1,5,0,70,75,75,73.333333,Pass
GP,F,15,T,2,0,no,yes,yes,yes,1,2,2,0,50,40,45,45,Fail
GP,F,15,T,3,0,no,yes,no,yes,1,1,4,4,50,60,60,56.666667,Pass
GP,M,15,T,1,0,no,yes,yes,yes,1,3,5,2,70,70,70,70,Pass
GP,M,15,T,2,0,no,yes,yes,yes,1,2,3,2,50,50,55,51.666667,Pass
GP,M,15,A,3,0,no,yes,no,yes,1,1,3,0,70,80,80,76.666667,Pass
GP,F,16,T,1,0,no,yes,no,yes,1,2,2,4,70,70,70,70,Pass
GP,F,16,T,3,0,no,yes,yes,yes,1,2,2,6,65,70,70,68.333333,Pass
GP,F,16,T,2,0,yes,yes,no,yes,1,1,4,4,40,50,50,46.666667,Fail
GP,M,17,T,1,3,no,yes,no,yes,2,4,5,16,30,25,25,26.666667,Fail
GP,M,16,T,1,0,no,no,yes,yes,1,3,5,4,40,50,50,46.666667,Fail
GP,M,15,T,2,0,no,no,no,yes,1,1,1,0,65,70,75,70,Pass
GP,M,15,T,1,0,no,yes,yes,yes,1,1,5,0,60,75,75,70,Pass
GP,M,16,T,2,0,no,no,no,yes,1,3,5,2,75,75,80,76.666667,Pass
GP,M,16,T,2,0,no,yes,no,yes,2,4,5,0,65,65,60,63.333333,Pass
GP,F,15,T,3,0,yes,yes,yes,yes,1,1,5,2,50,45,40,45,Fail
GP,F,16,T,1,2,no,yes,yes,yes,1,3,5,14,30,45,40,38.333333,Fail
GP,M,15,T,1,0,no,yes,yes,yes,1,2,5,2,60,60,55,58.333333,Pass
GP,M,15,T,1,0,no,no,yes,yes,2,4,1,4,75,80,75,76.666667,Pass
GP,M,16,A,2,0,yes,yes,no,yes,1,1,5,4,55,55,55,55,Pass
GP,M,16,T,2,0,no,yes,yes,yes,5,5,5,16,50,60,55,55,Pass
GP,M,15,T,2,0,no,yes,yes,yes,3,4,5,0,45,55,60,53.333333,Pass
GP,M,15,T,2,0,no,yes,no,yes,1,1,5,0,85,80,85,83.333333,Pass
GP,M,15,T,2,0,no,yes,no,yes,1,1,5,0,85,80,80,81.666667,Pass
GP,M,15,T,2,0,no,no,no,yes,1,1,2,0,40,50,60,50,Fail
GP,M,16,T,1,0,no,yes,yes,yes,1,1,5,0,60,70,75,68.333333,Pass
GP,F,15,T,1,0,no,yes,no,yes,1,1,5,0,40,35,30,35,Fail
GP,M,15,T,3,0,no,yes,no,yes,1,1,4,2,75,80,90,81.666667,Pass
GP,M,16,A,3,0,no,yes,no,yes,1,1,5,7,75,80,75,76.666667,Pass
GP,F,15,T,3,0,yes,yes,yes,yes,1,1,5,2,60,60,55,58.333333,Pass
GP,F,15,T,1,0,yes,yes,yes,yes,1,1,2,8,70,65,65,66.666667,Pass
GP,M,15,T,1,0,no,yes,no,yes,2,4,5,8,60,60,60,60,Pass
GP,M,15,T,2,0,no,yes,no,yes,1,1,5,2,95,90,90,91.666667,Pass
GP,M,15,T,1,0,yes,yes,no,yes,1,1,1,0,40,40,55,45,Fail
GP,F,16,T,2,1,yes,no,no,yes,2,2,5,14,50,50,45,48.333333,Fail
GP,F,15,A,2,0,yes,yes,yes,yes,1,1,5,8,40,40,30,36.666667,Fail
GP,F,16,A,2,0,no,yes,no,yes,1,4,3,12,55,60,55,56.666667,Pass
GP,M,16,T,4,0,no,no,no,yes,1,1,2,4,95,95,100,96.666667,Pass
GP,M,15,T,2,0,no,yes,yes,yes,2,2,5,2,75,75,70,73.333333,Pass
GP,F,15,T,2,1,yes,yes,no,yes,1,1,3,2,35,35,35,35,Fail
GP,F,16,T,2,0,no,yes,yes,yes,2,3,4,2,60,65,65,63.333333,Pass
GP,F,15,T,2,0,no,yes,yes,yes,1,1,5,2,55,65,65,61.666667,Pass
GP,M,15,A,1,1,no,no,no,yes,3,4,5,6,55,55,50,53.333333,Pass
GP,F,15,T,1,0,yes,yes,yes,yes,2,3,5,0,40,50,55,48.333333,Fail
GP,F,15,A,1,0,no,no,yes,yes,4,4,1,6,50,65,65,60,Pass
GP,F,16,A,2,0,no,no,yes,yes,1,1,2,8,40,45,50,45,Fail
GP,F,15,A,2,0,no,yes,yes,yes,1,1,1,0,70,75,75,73.333333,Pass
GP,M,15,T,2,0,no,yes,no,yes,1,1,5,4,70,75,75,73.333333,Pass
GP,M,15,T,2,0,yes,yes,no,yes,1,1,5,2,45,50,45,46.666667,Fail
GP,F,16,T,2,0,no,yes,no,yes,1,1,5,2,75,80,80,78.333333,Pass
GP,F,16,T,2,0,no,yes,no,yes,2,3,4,6,50,55,55,53.333333,Pass
GP,F,16,T,1,0,yes,yes,no,yes,5,5,5,6,50,40,55,48.333333,Fail
GP,F,16,T,2,0,yes,no,no,yes,1,1,1,4,40,50,45,45,Fail
GP,F,16,T,3,0,yes,yes,yes,yes,2,4,4,2,50,45,45,46.666667,Fail
GP,F,15,T,2,0,yes,no,no,yes,2,4,2,0,50,50,50,50,Fail
GP,F,16,T,2,0,no,yes,no,yes,1,2,1,2,80,75,75,76.666667,Pass
GP,M,15,A,4,0,no,yes,no,yes,5,5,3,4,65,65,60,63.333333,Pass
GP,F,16,T,4,0,yes,yes,yes,yes,1,2,5,4,35,35,30,33.333333,Fail
GP,F,15,T,2,0,yes,yes,yes,yes,1,3,4,2,40,45,40,41.666667,Fail
GP,F,15,T,4,0,no,yes,no,yes,2,3,3,12,80,80,80,80,Pass
GP,M,16,T,4,0,no,yes,yes,yes,1,1,5,0,65,75,75,71.666667,Pass
GP,M,15,T,4,0,no,no,no,yes,1,1,3,0,50,50,50,50,Fail
GP,F,15,T,2,2,yes,yes,no,yes,2,4,5,2,40,30,25,31.666667,Fail
GP,M,16,T,1,0,no,no,no,yes,2,2,5,2,60,60,70,63.333333,Pass
GP,F,16,T,2,0,yes,yes,yes,yes,2,4,5,54,55,60,55,56.666667,Pass
GP,M,15,T,2,0,no,yes,yes,yes,2,3,5,6,45,45,50,46.666667,Fail
GP,M,15,T,4,0,no,no,no,yes,1,1,1,8,55,55,50,53.333333,Pass
GP,F,16,T,4,0,no,no,yes,yes,1,3,3,0,55,55,55,55,Pass
GP,M,17,T,1,3,yes,yes,no,no,1,1,3,2,40,40,50,43.333333,Fail
GP,F,16,T,2,0,no,yes,no,yes,1,2,3,12,25,25,25,25,Fail
GP,M,15,T,1,0,yes,yes,yes,yes,1,3,3,2,50,60,60,56.666667,Pass
GP,M,15,T,3,0,yes,no,yes,yes,1,2,5,4,55,50,55,53.333333,Pass
GP,F,15,T,2,0,no,yes,yes,yes,1,1,5,10,35,30,30,31.666667,Fail
GP,M,15,T,2,0,no,no,yes,yes,1,3,4,4,75,75,75,75,Pass
GP,F,15,T,2,0,no,yes,no,yes,2,3,4,2,45,50,50,48.333333,Fail
GP,F,15,T,2,2,no,no,yes,yes,2,3,5,6,35,45,40,40,Fail
GP,F,16,T,2,0,no,yes,no,yes,1,2,2,4,40,35,30,35,Fail
GP,F,15,T,3,0,no,yes,no,yes,1,3,1,4,65,70,70,68.333333,Pass
GP,M,16,T,2,1,no,no,yes,yes,1,1,3,12,55,50,50,51.666667,Pass
GP,M,16,A,2,0,no,yes,no,yes,3,5,5,18,40,30,35,35,Fail
GP,F,16,T,3,0,no,yes,yes,yes,1,3,4,0,35,35,40,36.666667,Fail
